t_in,t_out,dir,vol,p_in,p_out,pl,exit,dist
2021-01-04 01:01:00,2021-01-04 03:06:00,buy,0.01,1910.07,1915.28,5.13,-,5.21
2021-01-04 10:28:00,2021-01-04 15:20:00,buy,0.01,1935.03,1936.88,1.77,-,1.85
2021-01-08 16:07:00,2021-01-08 16:43:39,buy,0.01,1889.15,1871.97,-17.259999999999998,sl,17.18
2021-01-11 17:52:00,2021-01-12 05:34:00,buy,0.01,1850.02,1851.69,0.7999999999999998,-,1.67
2021-01-20 16:11:00,2021-01-20 16:22:00,buy,0.01,1853.7,1858.82,5.04,-,5.12
2021-01-20 16:42:00,2021-01-20 17:16:00,buy,0.01,1862.73,1863.36,0.5499999999999999,-,0.63
2021-01-25 13:07:00,2021-01-25 15:24:00,buy,0.01,1865.84,1867.23,1.3099999999999998,-,1.39
2021-01-28 15:49:00,2021-01-28 16:01:00,buy,0.01,1853.36,1858.13,4.69,-,4.77
2021-01-28 16:20:00,2021-01-28 16:33:00,buy,0.01,1856.77,1861.85,5.0,-,5.08
2021-01-28 16:51:00,2021-01-28 17:22:00,buy,0.01,1861.31,1862.8,1.41,-,1.49
2021-01-28 18:45:00,2021-01-28 20:08:36,buy,0.01,1852.92,1835.37,-17.63,sl,17.55
2021-02-05 10:24:00,2021-02-05 18:37:00,buy,0.01,1808.67,1810.4,1.65,-,1.73
2021-02-10 15:33:00,2021-02-10 15:46:00,buy,0.01,1850.15,1854.77,4.54,-,4.62
2021-02-12 17:52:00,2021-02-15 06:45:39,buy,0.01,1826.97,1821.94,-5.9,sl,5.01
2021-02-16 18:16:00,2021-02-17 01:06:23,buy,0.01,1808.5,1791.62,-17.75,sl,16.87
2021-02-19 16:03:00,2021-02-19 16:48:00,buy,0.01,1784.94,1787.96,2.94,-,3.02
2021-03-08 01:19:00,2021-03-08 04:03:00,buy,0.01,1712.46,1713.94,1.4,-,1.48
2021-03-08 17:16:00,2021-03-09 04:19:00,buy,0.01,1686.61,1687.67,0.1899999999999999,-,1.06
2021-03-10 15:35:00,2021-03-10 22:47:00,buy,0.01,1721.41,1726.02,4.53,-,4.61
2021-03-12 18:49:00,2021-03-12 20:55:00,buy,0.01,1719.61,1724.53,4.84,-,4.92
2021-03-15 17:50:00,2021-03-15 19:10:00,buy,0.01,1724.47,1729.12,4.57,-,4.65
2021-03-17 21:14:00,2021-03-17 21:43:00,buy,0.01,1741.86,1746.86,4.92,-,5.0
2021-03-17 21:46:00,2021-03-18 03:09:00,buy,0.01,1748.38,1749.88,-0.96,-,1.5
2021-03-25 16:39:00,2021-03-25 20:01:34,buy,0.01,1743.45,1726.38,-17.15,sl,17.06
2021-03-31 15:08:00,2021-03-31 15:42:00,buy,0.01,1683.62,1688.85,5.15,-,5.23
2021-03-31 17:53:00,2021-03-31 19:18:00,buy,0.01,1705.06,1709.92,4.78,-,4.86
2021-04-12 16:15:00,2021-04-13 06:57:59,buy,0.01,1738.15,1731.35,-7.67,sl,6.79
2021-04-13 15:43:00,2021-04-13 16:32:00,buy,0.01,1739.81,1744.46,4.57,-,4.65
2021-04-13 16:40:00,2021-04-14 16:11:29,buy,0.01,1747.56,1740.64,-7.79,sl,6.92
2021-04-15 17:10:00,2021-04-15 17:39:00,buy,0.01,1760.64,1765.46,4.74,-,4.82
2021-04-16 16:30:00,2021-04-16 17:26:00,buy,0.01,1774.64,1780.13,5.41,-,5.49
2021-04-19 19:31:00,2021-04-20 06:11:00,buy,0.01,1770.54,1773.1,1.69,-,2.56
2021-04-20 17:09:00,2021-04-21 04:40:00,buy,0.01,1777.42,1782.13,3.84,-,4.71
2021-04-21 16:56:00,2021-04-22 04:45:00,buy,0.01,1795.91,1797.54,-0.8300000000000001,-,1.63
2021-04-23 16:45:00,2021-04-26 09:04:27,buy,0.01,1785.24,1778.23,-7.88,sl,7.01
2021-05-03 18:47:00,2021-05-04 08:17:33,buy,0.01,1790.89,1785.98,-5.78,sl,4.91
2021-05-06 16:38:00,2021-05-06 16:50:00,buy,0.01,1804.73,1810.27,5.46,-,5.54
2021-05-06 17:09:00,2021-05-06 17:52:00,buy,0.01,1810.42,1815.12,4.62,-,4.7
2021-05-06 17:53:00,2021-05-07 06:04:00,buy,0.01,1814.49,1819.79,4.43,-,5.3
2021-05-07 15:31:00,2021-05-07 15:33:00,buy,0.01,1827.8,1833.44,5.56,-,5.64
2021-05-07 16:02:00,2021-05-07 17:11:00,buy,0.01,1838.56,1839.23,0.59,-,0.67
2021-05-11 15:47:00,2021-05-12 15:30:39,buy,0.01,1835.16,1824.35,-11.68,sl,10.76
2021-05-12 16:04:00,2021-05-12 17:32:29,buy,0.01,1842.12,1825.44,-16.759999999999998,sl,16.62
2021-05-19 16:01:00,2021-05-19 16:39:00,buy,0.01,1874.89,1878.3,3.33,-,3.41
2021-05-19 16:40:00,2021-05-19 16:47:00,buy,0.01,1882.07,1888.15,6.0,-,6.08
2021-05-19 17:11:00,2021-05-19 18:10:00,buy,0.01,1883.29,1885.01,1.64,-,1.72
2021-05-21 17:15:00,2021-05-21 22:02:00,buy,0.01,1875.37,1880.07,4.62,-,4.7
2021-05-25 17:04:00,2021-05-25 20:32:00,buy,0.01,1893.56,1898.24,4.6,-,4.68
2021-05-28 16:36:00,2021-05-28 22:51:00,buy,0.01,1899.56,1904.27,4.63,-,4.71
2021-06-04 15:45:00,2021-06-04 16:08:00,buy,0.01,1882.92,1887.66,4.66,-,4.74
2021-06-08 19:15:00,2021-06-09 06:10:00,buy,0.01,1891.08,1895.92,3.97,-,4.84
2021-06-10 16:14:00,2021-06-10 18:54:00,buy,0.01,1893.02,1893.99,0.8899999999999999,-,0.97
2021-06-14 17:14:00,2021-06-15 17:19:28,buy,0.01,1868.06,1859.09,-9.84,sl,8.94
2021-06-22 15:00:00,2021-06-23 05:58:00,buy,0.01,1780.69,1782.36,0.7999999999999998,-,1.67
2021-06-23 16:52:00,2021-06-23 22:27:04,buy,0.01,1793.71,1776.57,-17.22,sl,17.11
2021-06-25 18:04:00,2021-06-28 07:36:00,buy,0.01,1780.03,1781.53,0.6299999999999999,-,1.5
2021-07-07 16:23:00,2021-07-07 16:47:00,buy,0.01,1801.55,1806.44,4.81,-,4.89
2021-07-08 17:16:00,2021-07-09 04:38:00,buy,0.01,1805.77,1806.54,-0.1,-,0.77
2021-07-13 17:09:00,2021-07-14 05:53:00,buy,0.01,1810.62,1812.31,0.8199999999999998,-,1.69
2021-07-14 15:14:00,2021-07-15 09:08:00,buy,0.01,1825.88,1831.01,2.67,-,5.13
2021-08-04 17:30:00,2021-08-05 16:40:20,buy,0.01,1811.29,1807.1,-6.65,sl,4.13
2021-08-09 03:02:00,2021-08-09 03:07:00,buy,0.01,1717.35,1717.38,-0.05,-,0.03
2021-08-09 03:34:00,2021-08-09 03:56:00,buy,0.01,1725.26,1728.24,2.9,-,2.98
2021-08-09 14:45:00,2021-08-09 17:58:39,buy,0.01,1746.8,1729.82,-17.06,sl,16.96
2021-08-13 17:07:00,2021-08-13 18:38:00,buy,0.01,1772.66,1777.6,4.86,-,4.94
2021-08-17 15:00:00,2021-08-18 06:01:00,buy,0.01,1791.36,1791.71,-0.5200000000000001,-,0.35
2021-08-19 15:16:00,2021-08-19 16:07:00,buy,0.01,1785.23,1790.5,5.19,-,5.27
2021-08-23 16:10:00,2021-08-24 15:14:00,buy,0.01,1804.43,1806.07,0.7699999999999998,-,1.64
2021-08-27 17:45:00,2021-08-27 18:57:00,buy,0.01,1807.29,1812.04,4.67,-,4.75
2021-08-27 18:58:00,2021-08-27 20:36:00,buy,0.01,1813.01,1817.61,4.52,-,4.6
2021-09-03 15:32:00,2021-09-03 17:35:00,buy,0.01,1826.61,1829.22,2.53,-,2.61
2021-09-09 16:00:00,2021-09-09 16:12:00,buy,0.01,1791.82,1796.46,4.56,-,4.64
2021-09-14 16:12:00,2021-09-14 17:38:00,buy,0.01,1799.18,1803.5,4.24,-,4.32
2021-09-14 19:30:00,2021-09-15 11:37:26,buy,0.01,1803.78,1799.28,-5.37,sl,4.47
2021-09-27 18:00:00,2021-09-27 19:26:00,buy,0.01,1749.11,1753.96,4.77,-,4.85
2021-09-30 15:59:00,2021-09-30 16:35:00,buy,0.01,1737.43,1742.21,4.7,-,4.78
2021-09-30 17:11:00,2021-09-30 17:29:00,buy,0.01,1748.75,1753.6,4.77,-,4.85
2021-09-30 17:43:00,2021-09-30 17:57:00,buy,0.01,1753.62,1758.67,4.97,-,5.05
2021-09-30 18:14:00,2021-10-01 07:27:36,buy,0.01,1761.01,1751.42,-10.46,sl,9.57
2021-10-04 16:30:00,2021-10-04 17:05:00,buy,0.01,1750.73,1755.33,4.52,-,4.6
2021-10-04 17:40:00,2021-10-05 08:41:13,buy,0.01,1766.18,1757.51,-9.54,sl,8.67
2021-10-07 15:27:00,2021-10-07 17:03:00,buy,0.01,1759.66,1761.67,1.93,-,2.01
2021-10-08 15:37:00,2021-10-08 16:05:00,buy,0.01,1773.06,1778.23,5.09,-,5.17
2021-10-08 16:08:00,2021-10-08 17:21:39,buy,0.01,1778.38,1761.58,-16.88,sl,16.8
2021-10-12 16:56:00,2021-10-13 13:09:00,buy,0.01,1767.88,1769.46,0.71,-,1.58
2021-10-13 17:00:00,2021-10-13 17:21:00,buy,0.01,1781.68,1786.39,4.63,-,4.71
2021-10-13 17:31:00,2021-10-13 17:42:00,buy,0.01,1787.68,1792.65,4.89,-,4.97
2021-10-14 15:15:00,2021-10-15 09:29:35,buy,0.01,1795.66,1791.2,-5.33,sl,4.45
2021-10-15 18:45:00,2021-10-18 09:03:31,buy,0.01,1769.43,1766.33,-3.97,sl,3.09
2021-10-18 19:15:00,2021-10-19 04:48:00,buy,0.01,1766.37,1771.04,3.8,-,4.67
2021-10-22 15:43:00,2021-10-22 16:56:00,buy,0.01,1803.11,1808.47,5.28,-,5.36
2021-10-22 18:32:00,2021-10-25 07:04:00,buy,0.01,1797.47,1798.99,0.6499999999999999,-,1.52
2021-11-04 15:53:00,2021-11-04 17:01:00,buy,0.01,1791.87,1797.52,5.57,-,5.65
2021-11-05 16:30:00,2021-11-05 18:13:00,buy,0.01,1801.87,1803.61,1.66,-,1.74
2021-11-10 15:34:00,2021-11-10 15:38:00,buy,0.01,1837.41,1846.47,8.980000000000002,-,9.06
2021-11-10 16:05:00,2021-11-10 16:31:00,buy,0.01,1853.93,1859.7,5.69,-,5.77
2021-11-10 16:36:00,2021-11-10 16:40:00,buy,0.01,1861.51,1866.74,5.15,-,5.23
2021-11-10 18:00:00,2021-11-10 18:23:00,buy,0.01,1851.51,1856.88,5.29,-,5.37
2021-11-10 19:45:00,2021-11-11 05:25:00,buy,0.01,1851.76,1853.78,-0.4399999999999999,-,2.02
2021-11-30 17:13:00,2021-11-30 17:38:03,buy,0.01,1808.52,1791.58,-17.02,sl,16.93
2021-12-01 08:00:00,2021-12-02 10:14:17,buy,0.01,1790.72,1774.83,-18.35,sl,15.86
2021-12-02 15:30:00,2021-12-03 07:33:00,buy,0.01,1775.42,1774.78,-1.5100000000000002,-,0.64
2021-12-10 15:58:00,2021-12-10 18:23:00,buy,0.01,1784.07,1785.71,1.5599999999999998,-,1.64
2021-12-15 22:05:00,2021-12-15 22:18:00,buy,0.01,1772.18,1777.12,4.86,-,4.94
2021-12-15 22:36:00,2021-12-16 08:17:00,buy,0.01,1780.03,1784.87,2.38,-,4.84
2021-12-21 17:00:00,2021-12-22 15:57:00,buy,0.01,1792.26,1793.86,0.73,-,1.6
2022-01-05 17:30:00,2022-01-06 06:04:37,buy,0.01,1822.87,1806.15,-19.18,sl,16.72
2022-01-10 15:00:00,2022-01-10 15:23:00,buy,0.01,1791.92,1796.64,4.64,-,4.72
2022-01-19 17:07:00,2022-01-19 18:43:00,buy,0.01,1836.22,1840.93,4.63,-,4.71
2022-01-21 17:45:00,2022-01-24 06:58:00,buy,0.01,1833.24,1837.98,3.87,-,4.74
2022-01-25 16:48:00,2022-01-26 13:54:01,buy,0.01,1851.18,1843.12,-8.93,sl,8.05
2022-02-02 15:45:00,2022-02-02 17:01:00,buy,0.01,1802.27,1807.41,5.06,-,5.14
2022-02-10 17:42:00,2022-02-11 06:51:35,buy,0.01,1839.77,1822.63,-18.009999999999998,sl,17.14
2022-02-11 20:47:00,2022-02-11 22:23:00,buy,0.01,1858.6,1863.78,5.1,-,5.18
2022-02-17 10:43:00,2022-02-17 11:29:00,buy,0.01,1886.97,1892.85,5.8,-,5.88
2022-02-22 01:03:00,2022-02-22 09:29:00,buy,0.01,1911.8,1913.16,1.28,-,1.36
2022-02-22 17:50:00,2022-02-22 18:11:00,buy,0.01,1894.47,1899.09,4.54,-,4.62
2022-02-24 05:07:00,2022-02-24 05:22:00,buy,0.01,1923.92,1928.86,4.86,-,4.94
2022-02-24 05:38:00,2022-02-24 06:11:00,buy,0.01,1929.11,1934.67,5.48,-,5.56
2022-02-24 06:12:00,2022-02-24 06:13:00,buy,0.01,1938.67,1944.12,5.37,-,5.45
2022-02-24 12:11:00,2022-02-24 12:16:00,buy,0.01,1956.61,1961.38,4.69,-,4.77
2022-02-24 12:42:00,2022-02-24 14:22:27,buy,0.01,1972.09,1955.06,-17.11,sl,16.99
2022-02-28 01:31:00,2022-02-28 02:48:00,buy,0.01,1914.75,1916.89,2.06,-,2.14
2022-02-28 18:30:00,2022-02-28 22:00:00,buy,0.01,1900.67,1906.47,5.72,-,5.8
2022-03-04 02:38:00,2022-03-04 03:53:29,buy,0.01,1948.44,1930.99,-17.529999999999998,sl,17.45
2022-03-04 16:40:00,2022-03-04 18:07:00,buy,0.01,1958.84,1959.69,0.7699999999999999,-,0.85
2022-03-04 18:22:00,2022-03-04 20:46:00,buy,0.01,1961.73,1966.49,4.68,-,4.76
2022-03-07 01:05:00,2022-03-07 01:07:00,buy,0.01,1981.21,1987.08,5.79,-,5.87
2022-03-07 01:36:00,2022-03-07 03:05:00,buy,0.01,1988.34,1993.01,4.59,-,4.67
2022-03-07 16:08:00,2022-03-07 16:35:00,buy,0.01,1972.45,1977.24,4.71,-,4.79
2022-03-07 16:39:00,2022-03-07 16:44:00,buy,0.01,1976.47,1981.84,5.29,-,5.37
2022-03-07 17:10:00,2022-03-07 17:37:00,buy,0.01,1980.44,1986.31,5.79,-,5.87
2022-03-07 17:41:00,2022-03-07 20:28:00,buy,0.01,1986.85,1992.07,5.14,-,5.22
2022-03-08 08:34:00,2022-03-08 08:45:00,buy,0.01,2004.99,2009.75,4.68,-,4.76
2022-03-08 09:05:00,2022-03-08 09:41:00,buy,0.01,2014.98,2019.98,4.92,-,5.0
2022-03-08 09:42:00,2022-03-08 10:20:39,buy,0.01,2020.61,2003.2,-17.49,sl,17.41
2022-03-08 16:40:00,2022-03-08 16:50:00,buy,0.01,2027.59,2039.77,12.1,-,12.18
2022-03-08 17:11:00,2022-03-08 17:24:00,buy,0.01,2044.5,2049.79,5.21,-,5.29
2022-03-08 17:42:00,2022-03-08 17:45:00,buy,0.01,2059.08,2064.12,4.96,-,5.04
2022-03-08 19:15:00,2022-03-08 19:33:38,buy,0.01,2044.4,2027.16,-17.319999999999997,sl,17.23
2022-03-10 12:14:00,2022-03-10 13:01:00,buy,0.01,1998.93,2000.84,1.83,-,1.91
2022-03-10 13:10:00,2022-03-10 14:40:00,buy,0.01,2006.85,2008.35,1.42,-,1.5
2022-03-11 17:13:00,2022-03-11 18:00:00,buy,0.01,1979.71,1980.74,0.95,-,1.03
2022-03-16 22:19:00,2022-03-16 22:59:00,buy,0.01,1923.9,1928.65,4.67,-,4.75
2022-03-16 23:01:00,2022-03-17 04:30:00,buy,0.01,1929.02,1930.65,-0.8300000000000001,-,1.63
2022-03-21 17:02:00,2022-03-21 21:58:00,buy,0.01,1933.1,1938.73,5.55,-,5.63
2022-03-24 14:57:00,2022-03-24 17:19:00,buy,0.01,1956.22,1959.67,3.37,-,3.45
2022-03-28 15:21:00,2022-03-28 21:57:35,buy,0.01,1943.72,1926.78,-17.02,sl,16.93
2022-03-29 17:02:00,2022-03-29 19:36:00,buy,0.01,1912.27,1916.91,4.56,-,4.64
2022-03-30 19:45:00,2022-03-31 07:28:15,buy,0.01,1932.73,1922.7,-12.489999999999998,sl,9.99
2022-04-08 17:11:00,2022-04-11 07:06:03,buy,0.01,1947.69,1941.5,-7.0600000000000005,sl,6.18
2022-04-11 11:38:00,2022-04-11 15:02:00,buy,0.01,1956.22,1960.92,4.62,-,4.7
2022-04-11 17:15:00,2022-04-11 18:07:00,buy,0.01,1948.11,1953.08,4.89,-,4.97
2022-04-11 19:46:00,2022-04-11 22:11:00,buy,0.01,1947.07,1951.94,4.79,-,4.87
2022-04-12 15:34:00,2022-04-12 15:54:00,buy,0.01,1967.3,1968.86,1.48,-,1.56
2022-04-12 16:09:00,2022-04-12 17:51:00,buy,0.01,1972.36,1974.35,1.91,-,1.99
2022-04-12 18:09:00,2022-04-13 09:23:41,buy,0.01,1976.36,1967.69,-9.54,sl,8.67
2022-04-14 15:45:00,2022-04-14 16:07:00,buy,0.01,1971.08,1976.44,5.28,-,5.36
2022-04-18 02:59:00,2022-04-18 09:32:00,buy,0.01,1987.83,1989.41,1.5,-,1.58
2022-04-20 15:31:00,2022-04-20 16:47:00,buy,0.01,1946.13,1950.86,4.65,-,4.73
2022-05-04 21:53:00,2022-05-04 21:57:00,buy,0.01,1882.35,1887.37,4.94,-,5.02
2022-05-04 22:24:00,2022-05-05 02:19:00,buy,0.01,1884.38,1889.2,2.3600000000000003,-,4.82
2022-05-05 17:01:00,2022-05-05 18:51:31,buy,0.01,1893.49,1877.03,-16.54,sl,16.45
2022-05-06 17:19:00,2022-05-06 18:23:00,buy,0.01,1885.03,1891.5,6.39,-,6.47
2022-05-11 15:00:00,2022-05-11 16:42:00,buy,0.01,1850.3,1851.9,1.52,-,1.6
2022-05-11 17:00:00,2022-05-11 18:39:00,buy,0.01,1853.39,1854.78,1.3099999999999998,-,1.39
2022-05-19 12:00:00,2022-05-19 12:14:00,buy,0.01,1822.66,1828.28,5.54,-,5.62
2022-05-23 15:54:00,2022-05-24 09:16:27,buy,0.01,1856.15,1851.0,-6.0200000000000005,sl,5.12
2022-06-01 15:43:00,2022-06-01 16:03:00,buy,0.01,1840.75,1846.27,5.44,-,5.52
2022-06-01 16:21:00,2022-06-02 09:31:00,buy,0.01,1846.39,1851.98,3.13,-,5.59
2022-06-07 16:55:00,2022-06-08 16:16:00,buy,0.01,1852.64,1854.82,1.31,-,2.18
2022-06-10 17:52:00,2022-06-10 18:22:00,buy,0.01,1855.94,1860.68,4.66,-,4.74
2022-06-10 18:23:00,2022-06-10 18:56:00,buy,0.01,1860.85,1865.54,4.61,-,4.69
2022-06-10 18:57:00,2022-06-10 19:24:00,buy,0.01,1866.4,1872.0,5.52,-,5.6
2022-06-10 19:29:00,2022-06-13 01:02:00,buy,0.01,1875.0,1876.46,0.5899999999999999,-,1.46
2022-06-15 17:02:00,2022-06-15 21:39:00,buy,0.01,1823.39,1834.24,10.77,-,10.85
